kakot;Shape_Leng;Shape_Area;lat;long
Kotawaringin Barat;6.798812019;0.764514927;-2.57079146;111.769597
Kotawaringin Timur;6.944593429;1.265148122;-2.0856292;112.7146131
Kuantan Singingi;3.980582904;0.430438586;-0.47664133;101.5036162
Kubu Raya;12.12431377;0.693703611;-0.39209973;109.539577
Kudus;1.323264679;0.036600791;-6.79027955;110.8699052
Kulon Progo;1.286903689;0.047518012;-7.81856577;110.1669797
Kuningan;1.909906875;0.097585548;-7.00345122;108.5598193
Kupang;6.24775988;0.42234089;-9.91810754;123.8599422
Kutai Barat;6.111220678;1.10988592;-0.50785145;115.8251675
Kutai Kartanegara;29.01354455;2.195393916;0.10886693;116.477771
Kutai Timur;14.18132172;2.582114626;0.98735804;117.1593432
Labuhanbatu;3.876222638;0.213388553;2.29607629;100.0621011
Labuhanbatu Selatan;3.947424901;0.25772434;1.85399967;100.1377468
Labuhanbatu Utara;3.786015401;0.303475799;2.41275132;99.75304792
Lahat;4.356889862;0.344847565;-3.82719424;103.3842678
Lamandau;4.808481153;0.625405316;-1.77356703;111.4149605
Lamongan;3.118309561;0.143440286;-7.13147362;112.3007682
Lampung Barat;2.78497127;0.174409884;-5.05567042;104.2519881
Lampung Selatan;5.269279;0.181265233;-5.53153857;105.5016605
Lampung Tengah;6.448655703;0.405097229;-4.88412198;105.2176801
Lampung Timur;4.486051956;0.315598712;-5.13151502;105.6486791
Lampung Utara;2.913060546;0.207333263;-4.80803331;104.8063243
Landak;6.196873597;0.679659033;0.50959015;109.7613996
Langkat;5.203349421;0.502893372;3.70741817;98.22423344
Lanny Jaya;3.556476675;0.21249052;-3.95153033;138.3605689
Lebak;3.221701622;0.270869843;-6.64207695;106.2124252
Lebong;2.307641171;0.135422811;-3.08972277;102.2476552
Lembata;3.451885914;0.104104669;-8.38121924;123.5407863
Lima Puluh Kota;3.907676865;0.266189302;0.02062376;100.5696733
Lingga;21.8714142;0.180032737;-0.22179363;104.5268485
Lombok Barat;3.67997933;0.075871965;-8.66446301;116.0941932
Lombok Tengah;2.47388443;0.095894436;-8.72282646;116.289131
Lombok Timur;3.477491987;0.132195722;-8.53296156;116.5305938
Lombok Utara;1.586354452;0.066558131;-8.3488895;116.2828392
Lumajang;2.015493633;0.147548636;-8.12539667;113.138453
Luwu;3.774299167;0.23564184;-3.19741417;120.1823417
Luwu Timur;4.878654737;0.56522685;-2.55255514;121.1348621
Luwu Utara;4.76620581;0.616026245;-2.38787027;120.1649838
Madiun;2.393955771;0.091284547;-7.62362659;111.6458343
Magelang;2.016873373;0.093674383;-7.50251451;110.2494106
Magetan;1.551483954;0.057964734;-7.66322698;111.357494
Mahakam Ulu;9.537875679;1.418190728;0.70315508;114.8382622
Majalengka;2.437636111;0.108840986;-6.81511791;108.2572399
Majene;2.282163044;0.071983278;-3.17500208;118.916497
Malaka;2.394415617;0.092923854;-9.52318811;124.8876664
Malang;5.393650378;0.284168089;-8.12672381;112.6415555
