site;province;city;district;village
Taman Manggie;Aceh;Aceh Barat;Panton Reu;Manggie
Taman Manggis;Sumatera Utara;Serdang Bedagai;Serbajadi;Manggis
Taman Manggis Harapan;Aceh;Aceh Selatan;Labuhan Haji;Manggis Harapan
Taman Manggra;Aceh;Aceh Besar;Indrapuri;Manggra
Taman Mangkai Baru;Sumatera Utara;Batu Bara;Lima Puluh;Mangkai Baru
Taman Mangkai Lama;Sumatera Utara;Batu Bara;Lima Puluh;Mangkai Lama
Taman Manik Hataran;Sumatera Utara;Simalungun;Sidamanik;Manik Hataran
Taman Manik Maraja;Sumatera Utara;Simalungun;Sidamanik;Manik Maraja
Taman Manik Rambung;Sumatera Utara;Simalungun;Sidamanik;Manik Rambung
Taman Manis;Sumatera Utara;Asahan;Pulau Rakyat;Manis
Taman Manjeng;Aceh;Aceh Barat;Pante Ceureumen;Manjeng
Taman Manrayap Baru;Sumatera Utara;Simalungun;Hutabayu Raja;Manrayap Baru
Taman Mantak Raya;Aceh;Pidie;Simpang Tiga;Mantak Raya
Taman Manukmulia;Sumatera Utara;Karo;Tigapanah;Manukmulia
Taman Manunggal;Sumatera Utara;Deli Serdang;Labuhan Deli;Manunggal
Taman Manyang;Aceh;Aceh Utara;Lhoksukon;Manyang
Taman Manyang;Aceh;Aceh Utara;Meurah Mulia;Manyang
Taman Manyang;Aceh;Pidie;Kembang Tanjong;Manyang
Taman Manyang;Aceh;Pidie;Glumpang Baro;Manyang
Taman Manyang;Aceh;Pidie Jaya;Bandar Baru;Manyang
Taman Manyang Baroh;Aceh;Aceh Utara;Syamtalira Aron;Manyang Baroh
Taman Manyang Cut;Aceh;Pidie Jaya;Meureudu;Manyang Cut
Taman Manyang Lancok;Aceh;Pidie Jaya;Meureudu;Manyang Lancok
Taman Manyang Sb;Aceh;Aceh Utara;Tanah Luas;Manyang Sb
Taman Manyang Tunong;Aceh;Aceh Utara;Tanah Luas;Manyang Tunong
Taman Marbau Selatan;Sumatera Utara;Labuhanbatu Utara;Marbau;Marbau Selatan
Taman Marbulang;Sumatera Utara;Toba Samosir;Silaen;Marbulang
Taman Marbun Tonga Marbun Dolok;Sumatera Utara;Humbang Hasundutan;Baktiraja;Marbun Tonga Marbun Dolok
Taman Marbun Toruan;Sumatera Utara;Humbang Hasundutan;Baktiraja;Marbun Toruan
Taman Mardinding Julu;Sumatera Utara;Deli Serdang;Biru-Biru;Mardinding Julu
Taman Mardingding;Sumatera Utara;Karo;Mardingding;Mardingding
Taman Mardingding;Sumatera Utara;Karo;Tiganderket;Mardingding
Taman Mardingding;Sumatera Utara;Simalungun;Pematang Silimahuta;Mardingding
Taman Marek;Aceh;Aceh Barat;Kaway Xvi;Marek
Taman Marendal I;Sumatera Utara;Deli Serdang;Patumbak;Marendal I
Taman Mareu;Aceh;Aceh Jaya;Jaya;Mareu
Taman Margo Mulyo;Sumatera Utara;Simalungun;Gunung Malela;Margo Mulyo
Taman Maria Buttu;Sumatera Utara;Simalungun;Silou Kahean;Maria Buttu
Taman Mariah Bandar;Sumatera Utara;Simalungun;Pematang Bandar;Mariah Bandar
Taman Mariah Dolok;Sumatera Utara;Simalungun;Dolok Silau;Mariah Dolok
Taman Mariah Hombang;Sumatera Utara;Simalungun;Hutabayu Raja;Mariah Hombang
Taman Mariah Jambi;Sumatera Utara;Simalungun;Jawa Maraja Bah Jambi;Mariah Jambi
Taman Mariah Nagur;Sumatera Utara;Serdang Bedagai;Sipispis;Mariah Nagur
Taman Mariah Padang;Sumatera Utara;Serdang Bedagai;Tebingtinggi;Mariah Padang
Taman Mariba Ni Aek;Sumatera Utara;Tapanuli Utara;Muara;Mariba Ni Aek
Taman Marihat Bandar;Sumatera Utara;Simalungun;Bandar;Marihat Bandar
Taman Marihat Baris;Sumatera Utara;Simalungun;Siantar;Marihat Baris
Taman Marihat Bukit;Sumatera Utara;Simalungun;Gunung Malela;Marihat Bukit
Taman Marihat Butar;Sumatera Utara;Simalungun;Bosar Maligas;Marihat Butar
Taman Marihat Dolok;Sumatera Utara;Simalungun;Dolok Panribuan;Marihat Dolok
Taman Marihat Dolok;Sumatera Utara;Serdang Bedagai;Bintang Bayu;Marihat Dolok
Taman Marihat Jaya;Sumatera Utara;Kota Pematangsiantar;Siantar Marimbun;Marihat Jaya
Taman Marihat Marsada;Sumatera Utara;Simalungun;Dolok Panribuan;Marihat Marsada
Taman Marihat Mayang;Sumatera Utara;Simalungun;Hutabayu Raja;Marihat Mayang
Taman Marihat Pondok;Sumatera Utara;Simalungun;Dolok Panribuan;Marihat Pondok
Taman Marihat Raja;Sumatera Utara;Simalungun;Dolok Panribuan;Marihat Raja
Taman Marihat Tanjung;Sumatera Utara;Simalungun;Bosar Maligas;Marihat Tanjung
Taman Marindal II;Sumatera Utara;Deli Serdang;Patumbak;Marindal II
Taman Marjandi;Sumatera Utara;Simalungun;Panombean Panei;Marjandi
Taman Marjandi Pematang;Sumatera Utara;Deli Serdang;Gunung Meriah;Marjandi Pematang
Taman Marjandi Pisang;Sumatera Utara;Simalungun;Panombean Panei;Marjandi Pisang
Taman Marjandi Tongah;Sumatera Utara;Deli Serdang;Gunung Meriah;Marjandi Tongah
Taman Marjanji;Sumatera Utara;Serdang Bedagai;Sipispis;Marjanji
Taman Marjanji;Sumatera Utara;Serdang Bedagai;Sipispis;Marjanji
Taman Marjanji Aceh;Sumatera Utara;Asahan;Aek Songsongan;Marjanji Aceh
Taman Marlempang;Aceh;Aceh Tamiang;Bendahara;Marlempang
Taman Marlumba;Sumatera Utara;Samosir;Simanindo;Marlumba
Taman Marom;Sumatera Utara;Toba Samosir;Uluan;Marom
Taman Marombun Barat;Sumatera Utara;Deli Serdang;Bangun Purba;Marombun Barat
Taman Marombun Ujung Jawi;Sumatera Utara;Deli Serdang;Bangun Purba;Marombun Ujung Jawi
Taman Marpadan;Sumatera Utara;Humbang Hasundutan;Tarabintang;Marpadan
Taman Marpunge;Aceh;Gayo Lues;Putri Betung;Marpunge
Taman Marpungepintugayo;Aceh;Gayo Lues;Putri Betung;Marpungepintugayo
Taman Marsangap;Sumatera Utara;Toba Samosir;Sigumpar;Marsangap
Taman Martebing;Sumatera Utara;Serdang Bedagai;Dolok Masihul;Martebing
Taman Martelu;Sumatera Utara;Karo;Laubaleng;Martelu
Taman Martelu;Sumatera Utara;Deli Serdang;Sibolangit;Martelu
Taman Martoba;Sumatera Utara;Samosir;Simanindo;Martoba
Taman Martubung;Sumatera Utara;Kota Medan;Medan Labuhan;Martubung
Taman Marubun;Sumatera Utara;Serdang Bedagai;Sipispis;Marubun
Taman Marubun Bayu;Sumatera Utara;Simalungun;Tanah Jawa;Marubun Bayu
Taman Marubun Jaya;Sumatera Utara;Simalungun;Tanah Jawa;Marubun Jaya
Taman Marubun Lokkung;Sumatera Utara;Simalungun;Dolok Silau;Marubun Lokkung
Taman Marubun Siboras;Sumatera Utara;Simalungun;Raya Kahean;Marubun Siboras
Taman Masen;Aceh;Aceh Jaya;Darul Hikmah;Masen
Taman Masnauli;Sumatera Utara;Tapanuli Tengah;Sirandorung;Masnauli
Taman Mata Ie;Aceh;Aceh Utara;Lhoksukon;Mata Ie
Taman Mata Ie;Aceh;Aceh Selatan;Pasi Raja;Mata Ie
Taman Mata Ie;Aceh;Aceh Timur;Rantau Peureulak;Mata Ie
Taman Mata Ie;Aceh;Aceh Besar;Montasik;Mata Ie
Taman Mata Ie;Aceh;Bireuen;Peusangan Selatan;Mata Ie
Taman Mata Ie;Aceh;Aceh Barat Daya;Blang Pidie;Mata Ie
Taman Mata Ie;Aceh;Aceh Jaya;Sampoiniet;Mata Ie
Taman Mata Mamplam;Aceh;Bireuen;Peusangan;Mata Mamplam
Taman Mata Pao;Sumatera Utara;Serdang Bedagai;Teluk Mengkudu;Mata Pao
Taman Mata U;Aceh;Aceh Utara;Lhoksukon;Mata U
Taman Matahalasan;Sumatera Utara;Kota Tanjung Balai;Tanjung Balai Utara;Matahalasan
Taman Matang;Aceh;Aceh Timur;Julok;Matang
Taman Matang;Aceh;Bireuen;Samalanga;Matang
Taman Matang;Aceh;Pidie Jaya;Trienggadeng;Matang
Taman Matang Anoe;Aceh;Aceh Utara;Seunuddon;Matang Anoe
Taman Matang Ara Aceh;Aceh;Aceh Tamiang;Manyak Payed;Matang Ara Aceh
Taman Matang Ara Jawa;Aceh;Aceh Tamiang;Manyak Payed;Matang Ara Jawa
Taman Matang Arongan;Aceh;Aceh Utara;Tanah Jambo Aye;Matang Arongan
Taman Matang Baloy;Aceh;Aceh Utara;Tanah Luas;Matang Baloy
Taman Matang Bangka;Aceh;Bireuen;Jeunieb;Matang Bangka
Taman Matang Baro;Aceh;Aceh Utara;Baktiya;Matang Baro
Taman Matang Baroh;Aceh;Aceh Utara;Lapang;Matang Baroh
Taman Matang Bayu;Aceh;Aceh Utara;Baktiya Barat;Matang Bayu
Taman Matang Ben;Aceh;Aceh Utara;Tanah Luas;Matang Ben
Taman Matang Beuringen;Aceh;Aceh Utara;Baktiya;Matang Beuringen
Taman Matang Bungong;Aceh;Aceh Timur;Idi Timur;Matang Bungong
Taman Matang Cengai;Aceh;Kota Langsa;Langsa Timur;Matang Cengai
Taman Matang Ceubrek;Aceh;Aceh Utara;Baktiya Barat;Matang Ceubrek
Taman Matang Cibrek;Aceh;Aceh Utara;Tanah Luas;Matang Cibrek
Taman Matang Cincin;Aceh;Aceh Tamiang;Manyak Payed;Matang Cincin
Taman Matang Cot Paseh;Aceh;Bireuen;Peusangan;Matang Cot Paseh
Taman Matang Cut;Aceh;Aceh Utara;Baktiya;Matang Cut
Taman Matang Drien;Aceh;Aceh Utara;Tanah Jambo Aye;Matang Drien
Taman Matang Geuto;Aceh;Aceh Timur;Darul Aman;Matang Geuto
Taman Matang Gleum;Aceh;Aceh Timur;Peureulak;Matang Gleum
Taman Matang Guru;Aceh;Aceh Timur;Madat;Matang Guru
Taman Matang Janeng;Aceh;Aceh Utara;Tanah Pasir;Matang Janeng
Taman Matang Jereung;Aceh;Bireuen;Samalanga;Matang Jereung
Taman Matang Jeulikat;Aceh;Aceh Utara;Seunuddon;Matang Jeulikat
Taman Matang Jrok;Aceh;Aceh Timur;Madat;Matang Jrok
Taman Matang Jurong;Aceh;Aceh Utara;Tanah Jambo Aye;Matang Jurong
Taman Matang Kareung;Aceh;Aceh Utara;Baktiya;Matang Kareung
Taman Matang Karieng;Aceh;Aceh Utara;Seunuddon;Matang Karieng
Taman Matang Keh;Aceh;Aceh Utara;Pirak Timur;Matang Keh
Taman Matang Kelayu;Aceh;Aceh Utara;Baktiya;Matang Kelayu
Taman Matang Keupula Dua;Aceh;Aceh Timur;Madat;Matang Keupula Dua
Taman Matang Keupula Lhee;Aceh;Aceh Timur;Madat;Matang Keupula Lhee
Taman Matang Keupula Sa;Aceh;Aceh Timur;Madat;Matang Keupula Sa
Taman Matang Keutapang;Aceh;Aceh Utara;Langkahan;Matang Keutapang
Taman Matang Kruet;Aceh;Aceh Timur;Pante Bidari;Matang Kruet
Taman Matang Kulee;Aceh;Bireuen;Peulimbang;Matang Kulee
Taman Matang Kuli;Aceh;Pidie;Kembang Tanjong;Matang Kuli
Taman Matang Kumbang;Aceh;Aceh Utara;Baktiya;Matang Kumbang
Taman Matang Kumbang;Aceh;Aceh Timur;Simpang Ulim;Matang Kumbang
Taman Matang Kumbang;Aceh;Bireuen;Makmur;Matang Kumbang
Taman Matang Kunyet;Aceh;Aceh Timur;Nurussalam;Matang Kunyet
Taman Matang Lada;Aceh;Aceh Utara;Seunuddon;Matang Lada
Taman Matang Lawang;Aceh;Aceh Utara;Baktiya;Matang Lawang
Taman Matang Linya;Aceh;Aceh Utara;Baktiya;Matang Linya
Taman Matang Mane;Aceh;Aceh Utara;Tanah Luas;Matang Mane
Taman Matang Maneh;Aceh;Aceh Utara;Tanah Jambo Aye;Matang Maneh
Taman Matang Manyam;Aceh;Aceh Utara;Baktiya;Matang Manyam
Taman Matang Mee;Aceh;Aceh Utara;Matangkuli;Matang Mee
Taman Matang Mesjid;Aceh;Bireuen;Peusangan;Matang Mesjid
Taman Matang Munjee;Aceh;Aceh Utara;Lhoksukon;Matang Munjee
Taman Matang Munye;Aceh;Aceh Utara;Matangkuli;Matang Munye
Taman Matang Munye;Aceh;Aceh Utara;Syamtalira Aron;Matang Munye
Taman Matang Neuheun;Aceh;Aceh Timur;Nurussalam;Matang Neuheun
Taman Matang Nibong;Aceh;Aceh Timur;Madat;Matang Nibong
Taman Matang Nibong;Aceh;Bireuen;Jeunieb;Matang Nibong
Taman Matang Panyang;Aceh;Kota Langsa;Langsa Timur;Matang Panyang
Taman Matang Panyang;Aceh;Aceh Utara;Seunuddon;Matang Panyang
Taman Matang Panyang;Aceh;Aceh Utara;Baktiya Barat;Matang Panyang
Taman Matang Panyang;Aceh;Aceh Utara;Paya Bakong;Matang Panyang
Taman Matang Panyang;Aceh;Aceh Timur;Nurussalam;Matang Panyang
Taman Matang Pasi;Aceh;Bireuen;Peudada;Matang Pasi
Taman Matang Paya;Aceh;Aceh Utara;Baktiya Barat;Matang Paya
Taman Matang Perlak;Aceh;Aceh Timur;Pante Bidari;Matang Perlak
Taman Matang Peulawi;Aceh;Aceh Timur;Peureulak;Matang Peulawi
Taman Matang Peusangan;Aceh;Aceh Utara;Matangkuli;Matang Peusangan
Taman Matang Pineung;Aceh;Aceh Utara;Baktiya;Matang Pineung
Taman Matang Pineung;Aceh;Aceh Timur;Darul Aman;Matang Pineung
Taman Matang Pudeng;Aceh;Aceh Timur;Pante Bidari;Matang Pudeng
Taman Matang Puntong;Aceh;Aceh Utara;Samudera;Matang Puntong
Taman Matang Puntong;Aceh;Aceh Utara;Seunuddon;Matang Puntong
Taman Matang Pupanji Ara Bungkok;Aceh;Aceh Utara;Lhoksukon;Matang Pupanji Ara Bungkok
Taman Matang Ranup Laseh;Aceh;Aceh Utara;Tanah Pasir;Matang Ranup Laseh
Taman Matang Rawa;Aceh;Aceh Utara;Baktiya;Matang Rawa
Taman Matang Raya;Aceh;Aceh Utara;Tanah Jambo Aye;Matang Raya
Taman Matang Raya Barat;Aceh;Aceh Utara;Baktiya;Matang Raya Barat
Taman Matang Raya Blang Sialet;Aceh;Aceh Utara;Baktiya Barat;Matang Raya Blang Sialet
Taman Matang Raya Timu;Aceh;Aceh Utara;Baktiya;Matang Raya Timu
Taman Matang Rayeuk;Aceh;Aceh Timur;Simpang Ulim;Matang Rayeuk
Taman Matang Rayeuk;Aceh;Aceh Timur;Peudawa;Matang Rayeuk
Taman Matang Rayeuk Pp;Aceh;Aceh Timur;Idi Timur;Matang Rayeuk Pp
Taman Matang Rayeuk Smk;Aceh;Aceh Timur;Idi Timur;Matang Rayeuk Smk
Taman Matang Reudeup;Aceh;Aceh Utara;Baktiya;Matang Reudeup
Taman Matang Reuleut;Aceh;Bireuen;Peudada;Matang Reuleut
Taman Matang Rubek;Aceh;Aceh Utara;Langkahan;Matang Rubek
Taman Matang Sagoe;Aceh;Bireuen;Peusangan;Matang Sagoe
Taman Matang Santot;Aceh;Aceh Utara;Tanah Jambo Aye;Matang Santot
Taman Matang Sentang;Aceh;Aceh Tamiang;Seruway;Matang Sentang
Taman Matang Seping;Aceh;Aceh Tamiang;Banda Mulia;Matang Seping
Taman Matang Serdang;Aceh;Aceh Utara;Tanah Jambo Aye;Matang Serdang
Taman Matang Seuke Pulot;Aceh;Aceh Utara;Tanah Jambo Aye;Matang Seuke Pulot
Taman Matang Seuleumak;Aceh;Aceh Timur;Nurussalam;Matang Seuleumak
Taman Matang Seulimeng;Aceh;Kota Langsa;Langsa Barat;Matang Seulimeng
Taman Matang Seupeng;Aceh;Aceh Timur;Simpang Ulim;Matang Seupeng
Taman Matang Seutui;Aceh;Kota Langsa;Langsa Timur;Matang Seutui
Taman Matang Sijuek Barat;Aceh;Aceh Utara;Baktiya Barat;Matang Sijuek Barat
Taman Matang Sijuek Teungoh;Aceh;Aceh Utara;Baktiya Barat;Matang Sijuek Teungoh
Taman Matang Sijuek Timu;Aceh;Aceh Utara;Baktiya Barat;Matang Sijuek Timu
Taman Matang Tepah;Aceh;Aceh Tamiang;Bendahara;Matang Tepah
Taman Matang Teungoh;Aceh;Aceh Utara;Cot Girek;Matang Teungoh
Taman Matang Teungoh;Aceh;Aceh Utara;Baktiya Barat;Matang Teungoh
Taman Matang Teungoh;Aceh;Bireuen;Samalanga;Matang Teungoh
Taman Matang Teungoh;Aceh;Bireuen;Jeunieb;Matang Teungoh
Taman Matang Teungoh-Teungoh;Aceh;Aceh Utara;Tanah Jambo Aye;Matang Teungoh-Teungoh
Taman Matang Teungoh Ab;Aceh;Aceh Utara;Lhoksukon;Matang Teungoh Ab
Taman Matang Teungoh Selatan;Aceh;Aceh Utara;Langkahan;Matang Teungoh Selatan
Taman Matang Tunong;Aceh;Aceh Utara;Samudera;Matang Tunong
Taman Matang Tunong;Aceh;Aceh Utara;Lapang;Matang Tunong
Taman Matang Ulim;Aceh;Aceh Utara;Baktiya;Matang Ulim
Taman Matang Ulim;Aceh;Aceh Utara;Samudera;Matang Ulim
Taman Matang Wakeuh;Aceh;Bireuen;Samalanga;Matang Wakeuh
Taman Matang Weng;Aceh;Aceh Timur;Simpang Ulim;Matang Weng
Taman Matanurung;Aceh;Simeulue;Teupah Tengah;Matanurung
Taman Matio;Sumatera Utara;Toba Samosir;Balige;Matio
Taman Matiti;Sumatera Utara;Humbang Hasundutan;Dolok Sanggul;Matiti
Taman Matiti Ii;Sumatera Utara;Humbang Hasundutan;Dolok Sanggul;Matiti Ii
Taman Maudil;Aceh;Simeulue;Teupah Barat;Maudil
Taman Mayang;Sumatera Utara;Simalungun;Bosar Maligas;Mayang
Taman Mbacang Racun;Aceh;Aceh Tenggara;Lawe Bulan;Mbacang Racun
Taman Mbak Sako;Aceh;Aceh Tenggara;Bukit Tusam;Mbak Sako
Taman Mbal-Mbal Petarum;Sumatera Utara;Karo;Laubaleng;Mbal-Mbal Petarum
Taman Mbaruai;Sumatera Utara;Deli Serdang;Biru-Biru;Mbaruai
Taman Mbarung;Aceh;Aceh Tenggara;Babussalam;Mbarung
Taman Mbarung Datuk Saudane;Aceh;Aceh Tenggara;Babussalam;Mbarung Datuk Saudane
Taman Mbetong;Sumatera Utara;Karo;Juhar;Mbetong
Taman Mbinalun;Sumatera Utara;Pakpak Bharat;Sitellu Tali Urang Jehe;Mbinalun
Taman Mbinanga;Sumatera Utara;Dairi;Pegagan Hilir;Mbinanga
Taman Mburidi;Sumatera Utara;Karo;Kutabuluh;Mburidi
Taman Me Merbo;Aceh;Aceh Utara;Tanah Pasir;Me Merbo
Taman Me Rayeuk;Aceh;Bireuen;Peusangan Selatan;Me Rayeuk
Taman Mee Tanoh;Aceh;Pidie;Peukan Baro;Mee Tanoh
Taman Meat;Sumatera Utara;Toba Samosir;Tampahan;Meat
Taman Medan Estate;Sumatera Utara;Deli Serdang;Percut Sei Tuan;Medan Estate
Taman Medan Krio;Sumatera Utara;Deli Serdang;Sunggal;Medan Krio
Taman Medan Sinembah;Sumatera Utara;Deli Serdang;Tanjung Morawa;Medan Sinembah
Taman Medan Tenggara;Sumatera Utara;Kota Medan;Medan Denai;Medan Tenggara
Taman Medang;Sumatera Utara;Batu Bara;Medang Deras;Medang
Taman Medang Ara;Aceh;Aceh Tamiang;Karang Baru;Medang Ara
Taman Medang Ara;Aceh;Aceh Timur;Nurussalam;Medang Ara
Taman Medang Baru;Sumatera Utara;Batu Bara;Medang Deras;Medang Baru
Taman Mee;Aceh;Aceh Utara;Matangkuli;Mee
Taman Mee;Aceh;Pidie;Batee;Mee
Taman Mee Adan;Aceh;Pidie;Mutiara Timur;Mee Adan
Taman Mee Aron;Aceh;Aceh Utara;Syamtalira Aron;Mee Aron
Taman Mee Hagu;Aceh;Pidie;Peukan Baro;Mee Hagu
Taman Mee Krueng Seumideun;Aceh;Pidie;Peukan Baro;Mee Krueng Seumideun
Taman Mee Krukon;Aceh;Pidie;Peukan Baro;Mee Krukon
Taman Mee Lampoih Saka;Aceh;Pidie;Peukan Baro;Mee Lampoih Saka
Taman Mee Matang Panyang;Aceh;Aceh Utara;Tanah Pasir;Mee Matang Panyang
Taman Mee Pangwa;Aceh;Pidie Jaya;Trienggadeng;Mee Pangwa
Taman Mee Panyang;Aceh;Pidie;Mutiara;Mee Panyang
Taman Mee Peuduek;Aceh;Pidie Jaya;Trienggadeng;Mee Peuduek
Taman Mee Tanjong;Aceh;Pidie;Mutiara Timur;Mee Tanjong
Taman Mee Teungoh;Aceh;Pidie;Mutiara;Mee Teungoh
Taman Mekar Ayu;Aceh;Bener Meriah;Timang Gajah;Mekar Ayu
Taman Mekar Bahalat;Sumatera Utara;Simalungun;Jawa Maraja Bah Jambi;Mekar Bahalat
Taman Mekar Baru;Sumatera Utara;Asahan;Kota Kisaran Barat;Mekar Baru
Taman Mekar Baru;Sumatera Utara;Batu Bara;Sei Balai;Mekar Baru
Taman Mekar Baru;Sumatera Utara;Batu Bara;Datuk Tanah Datar;Mekar Baru
Taman Mekar Jadi Ayu;Aceh;Bener Meriah;Wih Pesam;Mekar Jadi Ayu
Taman Mekar Jaya;Sumatera Utara;Langkat;Sei Bingai;Mekar Jaya
Taman Mekar Jaya;Sumatera Utara;Langkat;Wampu;Mekar Jaya
Taman Mekar Laras;Sumatera Utara;Batu Bara;Nibung Hangus;Mekar Laras
Taman Mekar Maju;Aceh;Aceh Tengah;Rusip Antara;Mekar Maju
Taman Mekar Makmur;Sumatera Utara;Langkat;Sei Lepan;Mekar Makmur
Taman Mekar Marjanji;Sumatera Utara;Asahan;Aek Songsongan;Mekar Marjanji
Taman Mekar Mulia;Sumatera Utara;Simalungun;Tanah Jawa;Mekar Mulia
Taman Mekar Mulio;Sumatera Utara;Batu Bara;Sei Balai;Mekar Mulio
Taman Mekar Rejo;Sumatera Utara;Simalungun;Bosar Maligas;Mekar Rejo
Taman Mekar Sari;Sumatera Utara;Deli Serdang;Deli Tua;Mekar Sari
Taman Mekar Sari;Sumatera Utara;Asahan;Pulau Rakyat;Mekar Sari
Taman Mekar Sari;Sumatera Utara;Asahan;Buntu Pane;Mekar Sari
Taman Mekar Sari;Sumatera Utara;Batu Bara;Laut Tador;Mekar Sari
Taman Mekar Sari Raya;Sumatera Utara;Simalungun;Panei;Mekar Sari Raya
Taman Mekar Sawit;Sumatera Utara;Langkat;Sawit Seberang;Mekar Sawit
Taman Mekar Sidamanik;Sumatera Utara;Simalungun;Sidamanik;Mekar Sidamanik
Taman Mekar Tanjung;Sumatera Utara;Asahan;Teluk Dalam;Mekar Tanjung
Taman Meker Indah;Aceh;Aceh Tengah;Silih Nara;Meker Indah
Taman Melala;Aceh;Aceh Tengah;Celala;Melala
Taman Melas;Sumatera Utara;Karo;Dolat Rayat;Melas
Taman Melati Ii;Sumatera Utara;Serdang Bedagai;Perbaungan;Melati Ii
Taman Melayu I;Aceh;Aceh Tenggara;Babussalam;Melayu I
Taman Melidi;Aceh;Aceh Timur;Simpang Jernih;Melidi
Taman Melingge;Aceh;Aceh Besar;Pulo Aceh;Melingge
Taman Meloak Sepakat;Aceh;Gayo Lues;Putri Betung;Meloak Sepakat
Taman Meloakaihilang;Aceh;Gayo Lues;Putri Betung;Meloakaihilang
Taman Meluem;Aceh;Bener Meriah;Bukit;Meluem
Taman Menanggini;Aceh;Aceh Tamiang;Karang Baru;Menanggini
Taman Mencirim;Sumatera Utara;Kota Binjai;Binjai Timur;Mencirim
Taman Mendabe;Aceh;Aceh Tenggara;Babussalam;Mendabe
Taman Mendale;Aceh;Aceh Tengah;Kebayakan;Mendale
Taman Mengaya;Aceh;Aceh Tengah;Bintang;Mengaya
Taman Meunjee Mesjid;Aceh;Pidie;Peukan Baro;Meunjee Mesjid
Taman Mentulang;Aceh;Aceh Barat;Panton Reu;Mentulang
Taman Merah Jernang;Aceh;Aceh Tengah;Atu Lintang;Merah Jernang
Taman Merah Mege;Aceh;Aceh Tengah;Atu Lintang;Merah Mege
Taman Merah Mersa;Aceh;Aceh Tengah;Laut Tawar;Merah Mersa
Taman Merah Muyang;Aceh;Aceh Tengah;Atu Lintang;Merah Muyang
Taman Merah Pupuk;Aceh;Aceh Tengah;Atu Lintang;Merah Pupuk
Taman Merah Said;Aceh;Aceh Tengah;Jagong Jeget;Merah Said
Taman Merandeh Paya;Aceh;Aceh Tengah;Rusip Antara;Merandeh Paya
Taman Meranti;Aceh;Aceh Tenggara;Babul Rahmah;Meranti
Taman Meranti;Sumatera Utara;Asahan;Meranti;Meranti
Taman Meranti Barat;Sumatera Utara;Toba Samosir;Silaen;Meranti Barat
Taman Meranti Omas;Sumatera Utara;Labuhanbatu Utara;Na IX-X;Meranti Omas
Taman Meranti Paham;Sumatera Utara;Labuhanbatu;Panai Hulu;Meranti Paham
Taman Meranti Tengah;Sumatera Utara;Toba Samosir;Pintu Pohan Meranti;Meranti Tengah
Taman Meranti Timur;Sumatera Utara;Toba Samosir;Pintu Pohan Meranti;Meranti Timur
Taman Meranti Utara;Sumatera Utara;Toba Samosir;Pintu Pohan Meranti;Meranti Utara
Taman Merbo Jurong;Aceh;Aceh Utara;Lapang;Merbo Jurong
Taman Merbo Lama;Aceh;Aceh Utara;Lapang;Merbo Lama
Taman Merbou Dua;Aceh;Aceh Timur;Birem Bayeun;Merbou Dua
Taman Merdeka;Sumatera Utara;Karo;Merdeka;Merdeka
Taman Merdeka;Sumatera Utara;Kota Medan;Medan Baru;Merdeka
Taman Merduati;Aceh;Kota Banda Aceh;Kuta Raja;Merduati
Taman Merek;Sumatera Utara;Karo;Merek;Merek
Taman Meriah Jaya;Aceh;Bener Meriah;Gajah Putih;Meriah Jaya
Taman Merie Satu;Aceh;Bener Meriah;Wih Pesam;Merie Satu
Taman Merodot;Aceh;Aceh Tengah;Bintang;Merodot
Taman Mersak;Aceh;Aceh Selatan;Kluet Tengah;Mersak
Taman Mesir;Aceh;Aceh Timur;Serbajadi;Mesir
Taman Mesjid Memeuaneuk;Aceh;Pidie;Grong-Grong;Mesjid Memeuaneuk
Taman Mesjid;Aceh;Aceh Tamiang;Manyak Payed;Mesjid
Taman Mesjid;Sumatera Utara;Deli Serdang;Batang Kuis;Mesjid
Taman Mesjid;Aceh;Aceh Utara;Meurah Mulia;Mesjid
Taman Mesjid;Aceh;Aceh Utara;Samudera;Mesjid
Taman Mesjid;Aceh;Aceh Utara;Syamtalira Aron;Mesjid
Taman Mesjid;Aceh;Pidie;Batee;Mesjid
Taman Mesjid;Aceh;Pidie;Muara Tiga;Mesjid
Taman Mesjid;Aceh;Aceh Barat Daya;Tangan-Tangan;Mesjid
Taman Mesjid;Aceh;Pidie Jaya;Bandar Baru;Mesjid
Taman Mesjid;Aceh;Pidie Jaya;Panteraja;Mesjid
Taman Mesjid;Sumatera Utara;Kota Medan;Medan Kota;Mesjid
Taman Mesjid Andeue;Aceh;Pidie;Mila;Mesjid Andeue
Taman Mesjid Aree;Aceh;Pidie;Delima;Mesjid Aree
Taman Mesjid Bambong;Aceh;Pidie;Delima;Mesjid Bambong
Taman Mesjid Baro;Aceh;Aceh Barat;Samatiga;Mesjid Baro
Taman Mesjid Baro;Aceh;Pidie;Indra Jaya;Mesjid Baro
Taman Mesjid Baro;Aceh;Bireuen;Samalanga;Mesjid Baro
Taman Mesjid Bendahara;Aceh;Aceh Tamiang;Bendahara;Mesjid Bendahara
Taman Mesjid Beuah;Aceh;Pidie;Delima;Mesjid Beuah
Taman Mesjid Beurabo;Aceh;Pidie;Padang Tiji;Mesjid Beurabo
Taman Mesjid Beureuleung;Aceh;Pidie;Grong-Grong;Mesjid Beureuleung
Taman Mesjid Bluek;Aceh;Aceh Utara;Meurah Mulia;Mesjid Bluek
